Consti#	Constituency	Margin
1	Gummidipoondi	23395
2	Ponneri	19336
3	Tiruttani	23141
4	Thiruvallur	5138
5	Poonamallee	11763
6	Avadi	1395
7	Maduravoyal	8402
8	Ambattur	17498
9	Madavaram	15253
10	Thiruvottiyur	4863
11	Dr.Radhakrishnan Nagar	39545
12	Perambur	519
13	Kolathur	37730
14	Villivakkam	9321
15	Thiru-Vi-Ka-Nagar	3322
16	Egmore	10679
17	Royapuram	8031
18	Harbour	4836
19	Chepauk-Thiruvallikeni	14164
20	Thousand Lights	8829
21	Anna Nagar	1687
22	Virugampakkam	2333
23	Saidapet	16255
24	Thiyagarayanagar	3155
25	Mylapore	14728
26	Velachery	8872
27	Shozhinganallur	14913
28	Alandur	19169
29	Sriperumbudur	10716
30	Pallavaram	22165
31	Tambaram	14445
32	Chengalpattu	26292
33	Thiruporur	950
34	Cheyyur	304
35	Madurantakam	2957
36	Uthiramerur	12156
37	Kancheepuram	7548
38	Arakkonam	4161
39	Sholingur	9732
40	Katpadi	23946
41	Ranipet	7896
42	Arcot	11091
43	Vellore	26210
44	Anaikattu	8768
45	Kilvaithinankuppam	9746
46	Gudiyattam	11470
47	Vaniyambadi	14526
48	Ambur	28006
49	Jolarpet	10991
50	Tirupattur	7647
51	Uthangarai	2613
52	Bargur	982
53	Krishnagiri	4891
54	Veppanahalli	5228
55	Hosur	22964
56	Thalli	6245
57	Palacode	5983
58	Pennagaram	18446
59	Dharmapuri	9676
60	Pappireddippatti	12713
61	Harur	11421
62	Chengam	12691
63	Tiruvannamalai	50348
64	Kilpennathur	34666
65	Kalasapakkam	26414
66	Polur	8273
67	Arani	7327
68	Cheyyar	8527
69	Vandavasi	18068
70	Gingee	22057
71	Mailam	12306
72	Tindivanam	101
73	Vanur	10223
74	Villupuram	22291
75	Vikravandi	6912
76	Tirukkoyilur	41057
77	Ulundurpettai	4164
78	Rishivandiyam	20503
79	Sankarapuram	14528
80	Kallakurichi	4104
81	Gangavalli	2262
82	Attur	17334
83	Yercaud	17394
84	Omalur	19956
85	Mettur	6282
86	Edappadi	42022
87	Sankari	37374
88	Salem (West)	7247
89	Salem (North)	9873
90	Salem (South)	30453
91	Veerapandi	14481
92	Rasipuram	9631
93	Senthamangalam	12333
94	Namakkal	13534
95	Paramathi-Velur	818
96	Tiruchengodu	3390
97	Kumarapalayam	47329
98	Erode (East)	7794
99	Erode (West)	4906
100	Modakkurichi	2222
101	Dharapuram (SC)	10017
102	Kangayam	13135
103	Perundurai	12771
104	Bhavani	24887
105	Anthiyur	5312
106	Gobichettipalayam	11223
107	Bhavanisagar	13104
108	Udhagamandalam	10418
109	Gudalur	13379
110	Coonoor	3710
111	Mettuppalayam	16114
112	Avanashi (SC)	30674
113	Tiruppur (North)	37774
114	Tiruppur (South)	15933
115	Palladam	32174
116	Sulur	36631
117	Kavundampalayam	8025
118	Coimbatore (North)	7724
119	Thondamuthur	64041
120	Coimbatore (South)	17419
121	Singanallur	5180
122	Kinathukadavu	1332
123	Pollachi	13368
124	Valparai	8244
125	Udumalaipettai	5687
126	Madathukulam	1667
127	Palani	25586
128	Oddanchatram	65727
129	Athoor	27147
130	Nilakkottai	14776
131	Natham	2110
132	Dindigul	20719
133	Vedasandur	19938
134		
135	Karur	441
136	Krishnarayapuram	35301
137	Kulithalai	11896
138	Manapparai	18277
139	Srirangam	14409
140	Tiruchirappalli (West)	28415
141	Tiruchirappalli (East)	21894
142	Thiruverumbur	16695
143	Lalgudi	3837
144	Manachanallur	7522
145	Musiri	32087
146	Thuraiyur	8068
147	Perambalur	6853
148	Kunnam	18796
149	Ariyalur	2043
150	Jayankondam	22934
151	Tittagudi (SC)	2212
152	Vridhachalam	13777
153	Neyveli	17791
154	Panruti	3128
155	Cuddalore	24413
156	Kurinjipadi	28108
157	Bhuvanagiri	5488
158	Chidambaram	1506
159	Kattumannarkoil(SC)	87
160	Sirkazhi	9003
161	Mayiladuthurai	4778
162	Poompuhar	19935
163	Nagapattinam	20550
164	Kilvelur	10170
165	Vedaranyam	22998
166	Thiruthuraipoondi	13250
167	Mannargudi	9937
168	Thiruvarur	68366
169	Nannilam	21276
170	Thiruvidaimarudur	532
171	Kumbakonam	8457
172	Papanasam	24365
173	Thiruvaiyaru	14343
174	Thanjavur	
175	Orathanadu	3645
176	Pattukkottai	12358
177	Peravurani	995
178	Gandharvakottai	3047
179	Viralimalai	8447
180	Pudukkottai	2084
181	Thirumayam	766
182	Alangudi	9941
183	Aranthangi	2291
184	Karaikudi	18283
185	Tiruppattur	42004
186	Sivaganga	6636
187	Manamadurai	14889
188	Melur	19723
189	Madurai East	32772
190	Sholavandan	24857
191	Madurai North	18839
192	Madurai South	23763
193	Madurai Central	5762
194	Madurai West	16398
195	Thiruparankundram	22992
196	Thirumangalam	23590
197	Usilampatti	32906
198	Andipatti	30196
199	Periyakulam	14350
200	Bodinayakanur	15608
201	Cumbum	11221
202	Rajapalayam	4802
203	Srivilliputhur	36673
204	Sattur	4427
205	Sivakasi	14748
206	Virudhunagar	2870
207	Aruppukkottai	18054
208	Tiruchuli	26577
209	Paramakudi	11389
210	Tiruvadanai	8696
211	Ramanathapuram	33222
212	Mudhukulathur	13348
213	Vilathikulam	18718
214	Thoothukkudi	20908
215	Tiruchendur	26001
216	Srivaikuntam	3531
217	Ottapidaram	493
218	Kovilpatti	428
219	Sankarankovil	14489
220	Vasudevanallur	18758
221	Kadayanallur	1194
222	Tenkasi	462
223	Alangulam	4754
224	Tirunelveli	601
225	Ambasamudram	13166
226	Palayamkottai	15872
227	Nanguneri	17315
228	Radhapuram	49
229	Kanniyakumari	5912
230	Nagercoil	20956
231	Colachel	26028
232	Padmanabhapuram	40905
233	Vilavancode	33143
234	Killiyoor	46295
